iter	Passed	Remaining
0	1	104
1	2	101
2	2	94
3	3	88
4	4	90
5	5	88
6	6	86
7	7	85
8	8	83
9	9	83
10	10	82
11	11	82
12	12	81
13	13	80
14	14	79
15	15	79
16	15	78
17	16	77
18	17	76
19	18	75
20	19	74
21	20	73
22	21	73
23	22	72
24	23	71
25	24	70
26	25	69
27	26	68
28	27	68
29	28	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	63
35	34	62
36	36	61
37	37	60
38	38	59
39	39	58
40	40	57
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	58	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	87	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
